,Neighborhood,Latitude,Longitude,Avg 2BHK Rent,Hospitals,Schools,Emergency Services,Leisure,Shopping Facilities,Spiritual Centers,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
141,Sector-8A Airoli,19.1538376,72.9626809,26000.0,0,1,0,0,8,1,Bus Station,Indian Restaurant,Pizza Place,Diner,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space,Factory,Zoo
142,raheja vihar,19.1168695,72.894113,4566.67,4,23,6,25,97,20,Food,Café,Department Store,Indian Restaurant,Chinese Restaurant,Lake,Residential Building (Apartment / Condo),Karaoke Bar,Lounge,Garden
143,Carter Road,19.0607341,72.8222907,131000.0,13,20,3,29,100,13,Café,Indian Restaurant,Bakery,Bar,Chinese Restaurant,Fast Food Restaurant,Asian Restaurant,Dessert Shop,Seafood Restaurant,Spa
144,Chembur West,19.0571098,72.8993875,41800.0,43,38,13,36,100,99,Indian Restaurant,Pizza Place,Café,Fast Food Restaurant,Dessert Shop,Seafood Restaurant,Bar,Gym,Bakery,Garden
145,DN Nagar Road,19.1270248,72.8327606,39285.71,22,8,9,28,100,71,Bar,Coffee Shop,Pub,Pizza Place,Indian Restaurant,Gym / Fitness Center,Vegetarian / Vegan Restaurant,Electronics Store,Multiplex,Snack Place
146,Santosh Nagar,19.0526081,72.9094457,13500.0,23,66,9,30,100,86,Indian Restaurant,Pizza Place,Café,Fast Food Restaurant,Chinese Restaurant,Food Truck,Food & Drink Shop,Pub,Supermarket,Lounge
147,Vartak Nagar,19.2258868,72.8485712,26333.33,32,69,6,40,100,80,Indian Restaurant,Ice Cream Shop,Restaurant,Chinese Restaurant,Sandwich Place,Café,Clothing Store,Snack Place,Coffee Shop,Electronics Store
148,Girgaon,18.9543165,72.8179082,121250.0,68,100,20,36,100,100,Indian Restaurant,Fast Food Restaurant,Juice Bar,Ice Cream Shop,Restaurant,Breakfast Spot,Bakery,Coffee Shop,Italian Restaurant,Gastropub
149,Sewri,18.9987796,72.8544218,101666.67,4,22,11,8,58,51,Harbor / Marina,Record Shop,Train Station,Cosmetics Shop,Pool Hall,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant
150,Cumballa Hill,18.9693073,72.8065375,140000.0,21,56,10,33,100,59,Café,Bar,Bakery,Chinese Restaurant,Dessert Shop,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Sandwich Place,Pizza Place
151,Charkop,19.2141193,72.8258652,26500.0,26,32,3,17,100,52,Gym,Playground,Pizza Place,Bakery,Miscellaneous Shop,Plaza,Motorcycle Shop,Café,Coffee Shop,Gym / Fitness Center
152,Pant Nagar,19.0868209,72.9156026,39250.0,21,67,7,28,100,90,Indian Restaurant,Vegetarian / Vegan Restaurant,Coffee Shop,Pizza Place,Café,Breakfast Spot,Electronics Store,Bakery,Juice Bar,Pub
153,Chakala,19.1152873,72.8618085,61500.0,12,47,8,19,100,85,Indian Restaurant,Café,Hotel,Seafood Restaurant,Fast Food Restaurant,Pizza Place,Diner,Restaurant,Multiplex,Chinese Restaurant
154,Vile Parle E,19.0962884,72.8483799,73333.33,16,51,10,19,100,62,Indian Restaurant,Café,Hotel,Coffee Shop,Sandwich Place,Fast Food Restaurant,Tea Room,Snack Place,Gym,Airport Terminal
155,Sindhi Society,19.0508747,72.8890543,42000.0,26,41,12,14,100,80,Indian Restaurant,Snack Place,Bar,Fast Food Restaurant,Juice Bar,Coffee Shop,Mobile Phone Shop,Pizza Place,Ice Cream Shop,Smoke Shop
156,Breach Candy,18.97256625,72.80426769748523,168000.0,12,21,7,27,100,34,Bar,Indian Restaurant,Bakery,Café,Dessert Shop,Pizza Place,Sandwich Place,Chinese Restaurant,Department Store,Italian Restaurant
157,Sher E Punjab Colony,19.1276887,72.8627819,45705.88,24,61,6,13,100,92,Indian Restaurant,Ice Cream Shop,Asian Restaurant,Market,Restaurant,Bed & Breakfast,Sports Bar,Camera Store,Multiplex,Bakery
158,Vikhroli West,19.114541,72.9257184,42333.33,15,47,9,19,100,61,Indian Restaurant,Café,Vegetarian / Vegan Restaurant,Pizza Place,Chinese Restaurant,Restaurant,Dessert Shop,Shopping Mall,Electronics Store,Furniture / Home Store
159,Jankalyan Nagar,19.1173138,72.9366231,38000.0,27,16,9,35,100,67,French Restaurant,Bakery,Vegetarian / Vegan Restaurant,Grocery Store,Indian Restaurant,Falafel Restaurant,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space
160,dadar,19.019282,72.8428757,145000.0,42,90,14,43,100,100,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Coffee Shop,Ice Cream Shop,Café,Movie Theater,Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant
161,Maharashtra Nagar,19.05599665,72.92266539120885,76000.0,29,100,9,21,100,100,Food Truck,Paper / Office Supplies Store,Fried Chicken Joint,Indian Restaurant,Gym,Diner,Hot Dog Joint,Farmers Market,Farm,Dim Sum Restaurant
162,Nahur East,19.1543618,72.9464735,41157.14,20,32,8,14,95,30,Restaurant,Fast Food Restaurant,Coffee Shop,Train Station,Pub,Bus Station,Electronics Store,Dim Sum Restaurant,Diner,Donut Shop
163,pakhadi,19.0963204,72.8643595,12000.0,2,8,4,2,49,30,Coffee Shop,Café,Indian Restaurant,Airport,Airport Terminal,Bar,Donut Shop,Lounge,Whisky Bar,Airport Lounge
164,Mazagaon,18.9697337,72.8406201,89600.0,29,29,18,24,100,100,Indian Restaurant,Chinese Restaurant,Food Truck,Garden,Music Venue,Bar,Bakery,Dessert Shop,Asian Restaurant,Coffee Shop
165,Anand Nagar,18.9665234,72.8118877,22000.0,30,100,21,33,100,82,Café,Sandwich Place,Bakery,Pizza Place,Department Store,Coffee Shop,Indian Restaurant,Chinese Restaurant,Restaurant,Snack Place
166,azad nagar,19.1283153,72.8400381,44500.0,30,7,6,19,100,79,Bar,Indian Restaurant,Coffee Shop,Pizza Place,Pub,Athletics & Sports,Asian Restaurant,Chinese Restaurant,Lounge,American Restaurant
167,Chembur Shell Colony,19.0487974,72.8878464,47000.0,22,44,12,11,100,70,Indian Restaurant,Fast Food Restaurant,Bar,Ice Cream Shop,Snack Place,Bistro,Road,Electronics Store,Juice Bar,Pool
168,Sector 18 Kharghar,19.073701399999997,73.08193505,21800.0,1,10,1,1,9,2,Smoke Shop,Chinese Restaurant,Restaurant,Bakery,Mughlai Restaurant,Train Station,Donut Shop,Dumpling Restaurant,Electronics Store,Zoo
169,Central Avenue,19.0420201,72.9249348,53350.0,0,20,3,5,32,26,Indian Restaurant,Coffee Shop,Gas Station,Diner,Bus Station,Gym,Café,Fast Food Restaurant,Farm,Falafel Restaurant
170,West Amardeep Colony,19.1789422,72.94758325000001,60000.0,46,82,7,22,100,90,Fast Food Restaurant,Snack Place,Indian Restaurant,Dessert Shop,Pub,Ice Cream Shop,Chinese Restaurant,Shopping Mall,Gym / Fitness Center,Mountain
171,Sector 11 Koparkhairane,19.1055916,73.0008759,27557.14,24,41,5,12,100,47,Department Store,Indian Restaurant,Ice Cream Shop,Diner,Bus Station,Seafood Restaurant,Thai Restaurant,Lounge,Food Truck,Bar
172,Western Express Highway Malad East,19.1848459,72.8585169,38500.0,27,78,6,15,100,82,Pizza Place,Snack Place,Gym / Fitness Center,Department Store,Ice Cream Shop,Indian Restaurant,Spa,Zoo,Factory,Donut Shop
173,Kalina,19.079273,72.8612672,54000.0,9,5,2,8,80,50,Ice Cream Shop,Bakery,Chinese Restaurant,Indian Restaurant,Food & Drink Shop,Juice Bar,Playground,Asian Restaurant,Electronics Store,Seafood Restaurant
174,Amboli,19.1319915,72.8499596,41000.0,41,70,10,14,100,79,Indian Restaurant,Asian Restaurant,Electronics Store,Fast Food Restaurant,Tea Room,Gym / Fitness Center,Coffee Shop,Pizza Place,Mughlai Restaurant,Sandwich Place
175,Sion Trombay Road,19.053378,72.8969517,42666.67,42,35,12,30,100,95,Indian Restaurant,Pizza Place,Fast Food Restaurant,Café,Bar,Bakery,Dessert Shop,Snack Place,Garden,Gym
176,Worli South Mumbai,19.0116962,72.8180702,70000.0,6,41,12,19,100,54,Scenic Lookout,Café,Bakery,Smoke Shop,Sports Club,Electronics Store,Thai Restaurant,French Restaurant,Chinese Restaurant,Art Gallery
177,Sector 2 Ulwe,18.9804364,73.0387309,10500.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
178,Grant Road,18.9644472,72.8135727,45000.0,47,100,19,24,100,100,Indian Restaurant,Café,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Pizza Place,Bakery,Restaurant,Snack Place,Coffee Shop
179,LBS Marg,19.0845663,72.8849418,29624.63,36,53,9,27,100,69,Indian Restaurant,Coffee Shop,Café,Chinese Restaurant,Beer Garden,Fast Food Restaurant,Shopping Mall,Restaurant,Pizza Place,Clothing Store
180,Sector-16 Ulwe,18.9804364,73.0387309,15000.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
181,Walkeshwar,18.9553434,72.8079469,92500.0,21,53,10,40,100,60,Indian Restaurant,Ice Cream Shop,Restaurant,Gym,Pizza Place,Fast Food Restaurant,Café,Coffee Shop,Park,Italian Restaurant
182,Almeida Park,19.05756305,72.83147308694079,75000.0,54,57,11,45,100,75,Café,Indian Restaurant,Bakery,Bar,Seafood Restaurant,Dessert Shop,Chinese Restaurant,Asian Restaurant,Lounge,Deli / Bodega
183,Mumbai Nashik Expressway,19.9870096,73.7841145,33750.0,69,21,4,21,100,35,Bus Station,Diner,Multicuisine Indian Restaurant,Chinese Restaurant,Tourist Information Center,Indian Restaurant,Donut Shop,Dumpling Restaurant,Electronics Store,Zoo
184,Sector 30 Kharghar,19.03773415,73.06419187265803,22666.67,25,46,3,16,100,28,Café,Fast Food Restaurant,Indian Restaurant,Multiplex,Juice Bar,Pizza Place,Fried Chicken Joint,Restaurant,Department Store,Chinese Restaurant
185,Hiranandani Gardens Powai,19.1192046,72.90727434203777,41500.0,1,22,3,33,100,25,Indian Restaurant,Ice Cream Shop,Restaurant,Chinese Restaurant,Bar,Bakery,Café,Coffee Shop,Lounge,Donut Shop
186,juhu tara,19.1002945,72.8273464,77000.0,4,21,4,29,100,11,Hotel,Indian Restaurant,Café,Bar,Lounge,Beach,Seafood Restaurant,Fast Food Restaurant,Spa,Snack Place
187,Marol Andheri east mumbai,19.1084462,72.8784065,50250.0,11,25,5,13,100,70,Indian Restaurant,Hotel,Fast Food Restaurant,Restaurant,Café,Lounge,Italian Restaurant,Coffee Shop,Pub,Chinese Restaurant
188,Powai Lake,19.1277203,72.90627950131966,39000.0,1,10,0,12,100,14,Indian Restaurant,Café,Italian Restaurant,Lake,Building,Restaurant,Bar,Gym / Fitness Center,Nightclub,Diner
